FIPS,year,primary_sex,primary_age,primary_dual,state,primary_race,primary_eligibility,primary_denominator_well,analysis_value_well,primary_denominator_hosp,analysis_value_hosp,primary_denominator_emer,analysis_value_emer,laus_code,Name,Employed,Unemployed,unemployment_rate,FIPS,county,primary_care_physicians,population,urban,shadac_category,pcp_per_100k
47001,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",35,"10,000+",267,undefined,617,CN4700100000000,Anderson,33010,1694,4.9,47001,Anderson,39.0,76061,Urban,moderately adequate,51.2746348325686
47003,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",46,"5,000-9,999",271,undefined,646,CN4700300000000,Bedford,19550,1073,5.2,47003,Bedford,15.0,48292,Rural,moderately adequate,31.061045307711424
47005,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",30,"1,000-4,999",274,undefined,783,CN4700500000000,Benton,6305,418,6.2,47005,Benton,3.0,16140,Rural,low inadequate,18.587360594795538
47007,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",19,"1,000-4,999",313,undefined,750,CN4700700000000,Bledsoe,3947,305,7.2,47007,Bledsoe,1.0,14836,Rural,low inadequate,6.740361283364789
47009,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",43,"10,000+",267,undefined,581,CN4700900000000,Blount,61119,2979,4.6,47009,Blount,90.0,129927,Urban,adequate,69.26966681290263
47011,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",30,"10,000+",284,undefined,649,CN4701100000000,Bradley,49347,2668,5.1,47011,Bradley,55.0,105749,Urban,moderately adequate,52.00994808461545
47013,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",38,"1,000-4,999",275,undefined,759,CN4701300000000,Campbell,13984,956,6.4,47013,Campbell,19.0,39797,Rural,moderately adequate,47.74229213257281
47015,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",49,"1,000-4,999",247,undefined,596,CN4701500000000,Cannon,6275,291,4.4,47015,Cannon,3.0,14178,Urban,low inadequate,21.159542953872197
47017,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",39,"5,000-9,999",274,undefined,725,CN4701700000000,Carroll,11357,680,5.6,47017,Carroll,12.0,27886,Rural,moderately adequate,43.03234598006168
47019,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",43,"5,000-9,999",300,undefined,611,CN4701900000000,Carter,22414,1325,5.6,47019,Carter,22.0,56433,Urban,moderately adequate,38.98428224620346
47021,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",35,"1,000-4,999",283,undefined,632,CN4702100000000,Cheatham,20830,884,4.1,47021,Cheatham,23.0,40181,Urban,moderately adequate,57.240984544934165
47023,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",37,"1,000-4,999",249,undefined,615,CN4702300000000,Chester,8062,362,4.3,47023,Chester,4.0,17190,Urban,low inadequate,23.26934264107039
47025,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",34,"1,000-4,999",240,undefined,681,CN4702500000000,Claiborne,12236,745,5.7,47025,Claiborne,23.0,31732,Rural,adequate,72.48203706038069
47027,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",30,"1,000-4,999",332,undefined,699,CN4702700000000,Clay,2557,186,6.8,47027,Clay,2.0,7654,Rural,low inadequate,26.130128037627383
47029,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",35,"5,000-9,999",229,undefined,734,CN4702900000000,Cocke,13453,987,6.8,47029,Cocke,16.0,35552,Rural,moderately adequate,45.004500450045
47031,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",37,"5,000-9,999",281,undefined,684,CN4703100000000,Coffee,24124,1246,4.9,47031,Coffee,37.0,55209,Rural,adequate,67.01805864985782
47033,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",25,"1,000-4,999",289,undefined,622,CN4703300000000,Crockett,6494,344,5.0,47033,Crockett,0.0,14399,Rural,low inadequate,0.0
47035,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",25,"10,000+",272,undefined,640,CN4703500000000,Cumberland,21137,1490,6.6,47035,Cumberland,40.0,59216,Rural,adequate,67.54931099702783
47037,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",40,"10,000+",293,undefined,684,CN4703700000000,Davidson,383381,18559,4.6,47037,Davidson,665.0,687488,Urban,adequate,96.7289610873208
47039,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",13,"1,000-4,999",332,undefined,832,CN4703900000000,Decatur,4043,306,7.0,47039,Decatur,4.0,11686,Rural,moderately adequate,34.22899195618689
47041,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",18,"1,000-4,999",266,undefined,600,CN4704100000000,DeKalb,7173,467,6.1,47041,DeKalb,9.0,19847,Rural,moderately adequate,45.34690381417847
47043,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",32,"5,000-9,999",325,undefined,748,CN4704300000000,Dickson,25660,1146,4.3,47043,Dickson,19.0,52680,Urban,moderately adequate,36.0668185269552
47045,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",29,"5,000-9,999",325,undefined,854,CN4704500000000,Dyer,14812,919,5.8,47045,Dyer,14.0,37416,Rural,moderately adequate,37.41714774428052
47047,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",32,"1,000-4,999",271,undefined,542,CN4704700000000,Fayette,18154,945,4.9,47047,Fayette,15.0,40164,Urban,moderately adequate,37.346877801015836
47049,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",30,"1,000-4,999",323,undefined,598,CN4704900000000,Fentress,7046,391,5.3,47049,Fentress,10.0,18213,Rural,moderately adequate,54.90583649041893
47051,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",42,"5,000-9,999",281,undefined,695,CN4705100000000,Franklin,18540,907,4.7,47051,Franklin,27.0,41725,Rural,moderately adequate,64.70940683043739
47053,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",41,"5,000-9,999",275,undefined,708,CN4705300000000,Gibson,20586,1138,5.2,47053,Gibson,21.0,49228,Rural,moderately adequate,42.658649549037136
47055,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",17,"5,000-9,999",303,undefined,700,CN4705500000000,Giles,13717,699,4.8,47055,Giles,11.0,29285,Rural,moderately adequate,37.5618917534574
47057,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",36,"1,000-4,999",208,undefined,539,CN4705700000000,Grainger,9008,538,5.6,47057,Grainger,5.0,23101,Urban,low inadequate,21.644084671659236
47059,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",50,"5,000-9,999",252,undefined,652,CN4705900000000,Greene,26971,1583,5.5,47059,Greene,39.0,68834,Rural,moderately adequate,56.658046895429585
47061,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",34,"1,000-4,999",285,undefined,651,CN4706100000000,Grundy,4655,322,6.5,47061,Grundy,0.0,13344,Rural,low inadequate,0.0
47063,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",37,"5,000-9,999",263,undefined,679,CN4706300000000,Hamblen,26647,1371,4.9,47063,Hamblen,38.0,64132,Urban,moderately adequate,59.25279111831847
47065,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",39,"10,000+",266,undefined,662,CN4706500000000,Hamilton,173702,8846,4.8,47065,Hamilton,403.0,360919,Urban,adequate,111.65940280229083
47067,2019,All,All,Dual & non-dual,TENNESSEE,All,All,500-999,27,500-999,300,undefined,917,CN4706700000000,Hancock,1997,144,6.7,47067,Hancock,1.0,6587,Rural,low inadequate,15.18141794443601
47069,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",22,"1,000-4,999",271,undefined,748,CN4706900000000,Hardeman,8514,675,7.3,47069,Hardeman,4.0,25443,Rural,low inadequate,15.721416499626617
47071,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",28,"1,000-4,999",265,undefined,727,CN4707100000000,Hardin,9693,594,5.8,47071,Hardin,13.0,25715,Rural,moderately adequate,50.554151273575734
47073,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",40,"5,000-9,999",257,undefined,696,CN4707300000000,Hawkins,22117,1258,5.4,47073,Hawkins,15.0,56611,Urban,low inadequate,26.49661726519581
47075,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",24,"1,000-4,999",246,undefined,590,CN4707500000000,Haywood,7162,515,6.7,47075,Haywood,5.0,17623,Rural,low inadequate,28.372013845542757
47077,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",27,"1,000-4,999",256,undefined,795,CN4707700000000,Henderson,11323,638,5.3,47077,Henderson,7.0,27977,Rural,low inadequate,25.020552596775925
47079,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",46,"5,000-9,999",254,undefined,596,CN4707900000000,Henry,12583,748,5.6,47079,Henry,22.0,32284,Rural,adequate,68.14521125015489
47081,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",26,"1,000-4,999",271,undefined,720,CN4708100000000,Hickman,10806,484,4.3,47081,Hickman,5.0,24813,Urban,low inadequate,20.150727441260628
47083,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",39,"1,000-4,999",304,undefined,691,CN4708300000000,Houston,3001,234,7.2,47083,Houston,2.0,8164,Rural,low inadequate,24.49779519843214
47085,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",16,"1,000-4,999",329,undefined,772,CN4708500000000,Humphreys,8262,428,4.9,47085,Humphreys,5.0,18435,Rural,low inadequate,27.122321670735015
47087,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",25,"1,000-4,999",360,undefined,682,CN4708700000000,Jackson,4550,291,6.0,47087,Jackson,2.0,11682,Rural,low inadequate,17.120356103406948
47089,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",51,"5,000-9,999",240,undefined,606,CN4708900000000,Jefferson,23399,1220,5.0,47089,Jefferson,21.0,53679,Urban,moderately adequate,39.121444140166545
47091,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",22,"1,000-4,999",246,undefined,667,CN4709100000000,Johnson,7436,416,5.3,47091,Johnson,6.0,17753,Rural,moderately adequate,33.79710471469611
47093,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"10,000+",56,"10,000+",234,undefined,559,CN4709300000000,Knox,235010,10072,4.1,47093,Knox,520.0,461104,Urban,adequate,112.77282348450676
47095,2019,All,All,Dual & non-dual,TENNESSEE,All,All,500-999,20,"1,000-4,999",401,undefined,1000,CN4709500000000,Lake,1537,157,9.3,47095,Lake,0.0,7401,Rural,low inadequate,0.0
47097,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",36,"1,000-4,999",294,undefined,822,CN4709700000000,Lauderdale,9075,658,6.8,47097,Lauderdale,2.0,25989,Rural,low inadequate,7.695563507637847
47099,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"5,000-9,999",29,"5,000-9,999",293,undefined,680,CN4709900000000,Lawrence,18105,977,5.1,47099,Lawrence,18.0,43390,Rural,moderately adequate,41.484212952293156
47101,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",12,"1,000-4,999",309,undefined,608,CN4710100000000,Lewis,5017,283,5.3,47101,Lewis,2.0,12027,Rural,low inadequate,16.629250852249104
47103,2019,All,All,Dual & non-dual,TENNESSEE,All,All,"1,000-4,999",38,"5,000-9,999",247,undefined,650,CN4710300000000,Lincoln,15196,828,5.2,47103,Lincoln,18.0,33924,Rural,moderately adequate,53.05978068623983
